,seance_ID,groupe_ID,file_ID,role,messageID,utterance_num,message,forme,ton,content,nature,formv2
32,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Driver,32,0,demande l'édition,imperativeSentence,neutral,notRelatedToProgramming_Other,askingForHelp,imperativeSentence
33,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,33,0,vsy je teste le code,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
34,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,34,0,quand je teste le code il me disent y'a des erreurs de type,negativeSentence,neutral,relatedToProgramming_notRelatedToTask,errors,neutral
35,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,35,0,pour int,positiveSentence,neutral,relatedToProgramming_notRelatedToTask,taskKnowledge,neutral
36,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,36,0,je sais pas pk,negativeSentence,neutral,notRelatedToProgramming_Other,noFeedback,neutral
37,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Driver,37,0,demande a éditer je te passe la main tu teste ce que tu as dis,positiveSentence,positiveTone,notRelatedToProgramming_Other,askingForHelp,neutral
38,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,38,0,vsy je sauvegarde juste le ocde que t'a déja fait,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
39,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Driver,39,0,ok,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
40,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Driver,40,0,je supprime,positiveSentence,neutral,notRelatedToProgramming_Other,noFeedback,neutral
41,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,41,0,c bon t'as la main,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
42,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Driver,42,0,"je crois c'est bon , je suis pas sur",negativeSentence,neutral,notRelatedToProgramming_Other,noFeedback,neutral
43,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Driver,43,0,tu peux tester?,question,neutral,notRelatedToProgramming_Other,askingForHelp,question
44,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,44,0,il y a des erreurs sur plusieurs lignes mais le dernier j'ai pas,negativeSentence,neutral,relatedToProgramming_notRelatedToTask,errors,neutral
45,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,45,0,sur le return positions,positiveSentence,neutral,relatedToProgramming_notRelatedToTask,taskKnowledge,neutral
46,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,46,0,on fini l'activité ducoup?,question,neutral,notRelatedToProgramming_Other,askingForHelp,question
